"ID","Kalimat","Kelas"
"0","DEWAN PERWAKILAN RAKYAT REPUBLIK INDONESIA RISALAH RESMI Tahun Sidang : 2014-2015 Masa Persidangan : III Rapat Ke- : 23 Jenis Rapat : Rapat Paripurna DPR RI Sifat Rapat : Terbuka Hari, tanggal : Selasa, 7 April 2015 Waktu : Pukul 10 .","Other"
"1","00 WIB s .","Other"
"2","d .","Other"
"3","selesai Tempat : Ruang Rapat Paripurna Gedung Nusantara II Lt .","Statement"
"4","3 Jln. Jendral .","Other"
"5","Gatot Subroto - Jakarta Acara : Penyampaian Ikhtisar Hasil Pemeriksaan BPK RI Semester II Tahun 2014 dan Penyerahan Laporan Hasil Pemeriksaan BPK RI .","Other"
"6","Ketua Rapat : Dr. Ir. H. Taufik Kurniawan, M. M. (Wakil Ketua DPR RI Bidang Ekku) Didampingi: 1 .","Other"
"7","Drs. Setya Novanto .","Other"
"8","Ak (Ketua DPR RI) 2 .","Other"
"9","Fadli Zon, S. S. , M. Sc .","Other"
"10","(Wakil Ketua DPR RI Bidang Ekku) 3 .","Other"
"11","Dr. Agus Hermanto (Wakil Ketua DPR RI Bidang Inbang) 4 .","Other"
"12","Fahri Hamzah, S. E. (Wakil Ketua DPR RI Bidang Kesra) Sekretaris Rapat : Dr. WINANTUNINGTYASTITI S. , M. Si .","Statement"
"13","(Sekretaris Jenderal DPR RI) Hadir : ANGGOTA DPR RI: 357 dari 555 orang Anggota dengan rincian: FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN 2 dari 109 orang Anggota; FRAKSI PARTAI GOLONGAN KARYA 86 dari 91 orang Anggota; SEKRETARIAT JENDERAL DPR RI: 1) Achmad Djuned, S. H. , M. H. (Wakil Sekretaris Jenderal DPR RI ) 2) Tatang Sutharsa, S. H. (Deputi Bidang Persidangan dan KSAP) 3) K. Johson Rajagukguk, S. H. , M. H. (Deputi Bidang Perundang-undangan) 4) Drs. Helmizar (Kepala Biro Persidangan) 5) Dr. Dewi Barliana S. , S. H. , M. Hum .","Other"
"14","(Kepala Biro Kesekretariatan Pimpinan) 6) Dra. Mitra Anindyarina (Kepala Bagian Persidangan Paripurna) DAFTAR HADIR ANGGOTA DPR RI DEW AN PERWAKILAN RAKYAT REPUBLIK INDONESIARISALAH RESMITahun Sidang Masa Persidangan Rapat ke- Jenis Rapat2014-201511123Rapat Paripurna DPR RlSifat Rapat TerbukaHari, tanggal Selasa, 7 April 2015Waktu Pukul 10 .","Statement"
"15","00 WIB s .","Other"
"16","d .","Other"
"17","selesaiT e m p a t : Ruang Rapat Paripurna Gedung Nusantara II Lt .","Other"
"18","3 Jl. Jend. Gatot Subroto - JakartaAcara : Penyampaian Ikhtisar Hasil Pemeriksaan BPK Rl Semester II Tahun 2014 dan Penyerahan Laporan Hasil Pemeriksaan BPK Rl .","Other"
"19","Ketua Rapat : Dr. , Ir. H. TAUFIK KURNIAWAN, M. M. (Wakil Ketua DPR Rl Bidang Ekku)Didampingi:1 .","Statement"
"20","Drs. Setya Novanto, Ak. (Ketua DPR Rl)2 .","Other"
"21","Fad!* Zon, S. S. , M. Sc .","Other"
"22","(Wakil Ketua DPR Rl Bidang Polkam)3 .","Other"
"23","DR .","Other"
"24","Agus Hermanto(Wakil Ketua DPR Rl Bidang Inbang)4 .","Other"
"25","FAHRI HAMZAH, S. E. (Wakil Ketua DPR Rl Bidang Kesra)Sekretaris Rapat : DR .","Other"
"26","WINANTUNINGTYASTITI S, M. SL (Sekretaris Jenderal DPR Rl)H a d i r : ANGGOTA DPR Rl:467 dari 555 orang Anggota dengan rincian:2FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN73 dari 109 orang Anggota;FRAKSI PARTAI GOLONGAN KARYA75 dari 91 orang Anggota;FRAKSI PARTAI GERAKAN INDONESIA RAYA61 dari 73 orang Anggota;FRAKSI PARTAI DEMOKRAT46 dari 61 orang Anggota;FRAKSI PARTAI AMANAT NASIONAL37 dari 48 orang Anggota;FRAKSI PARTAI KEBANGKITAN BANGSA32 dari 47 orang Anggota;FRAKSI PARTAI KEADILAN SEJAHTERA30 dari 40 orang Anggota;FRAKSI PARTAI PERSATUAN PEMBANGUNAN28 dari 39 orang Anggota;FRAKSI PARTAI NASIONAL DEMOKRAT22 dari 36 orang Anggota;FRAKSI PARTAI HANURA14 dari 16 orang Anggota;SEKRETARIAT JENDERAL DPR Rl:1) Achmad Djuned, S. H. , M. H. (Wakil Sekretaris Jenderal DPR Rl)2) Tatang Sutharsa, S. H. (Deputi Bidang Persidangan dan KSAP)3) K. Johnson Rajagukguk, S. H. M. H. (Deputi Bidang Perundang-undangan)4) Dr. Dewi Barliana S. , S. H. , M. Hum .","Statement"
"27","(Kepala Biro Kesekretariatan Pimpinan)5) Drs. Helmizar(Kepala Biro Persidangan)6) Dra. Mitra Anindyarina(Kepala Bagian Persidangan Paripurna)3DAFTAR NADIR ANGGOTA DPR Rl PADA RAP AT PARIPURNA TANGGAL 23 MARET 20151 .","Other"
"28","FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGANNOURUT NAMANOMORANGGOTA1 .","Other"
"29","Ir. TAGORE ABU BAKAR(Aceh II) 1242 .","Other"
"30","H. IRMADI LUBIS{Sumut 1) 125 j3 .","Other"
"31","dr. SOFYAN TAN(Sumut 1)]1264 .","Other"
"32","TRIMEDYA PANJAITAN, S. H. , M. H. (Sumut II) 1275 .","Other"
"33","Dr. JUNIMART GIRSANG, S. H. , M. B. A. , M. H. (Sumut III) 1286 .","Other"
"34","AGUS SUSANTO(Sumbar II) 1307 .","Other"
"35","MARSIAMAN SARAGIH (Riau II) 1328 .","Other"
"36","IHSAN YUNUS, M. E. Con .","Suggestion"
"37",", Std .","Other"
"38","(Jambi) 133 J9 .","Other"
"39","H. R. ERWIN MOESLIMIN SINGAJURU, S. H. , M. H. (Sumsel II) 13510,Hj .","Statement"
"40","ELVA HARTATI, S. I. P. , M. M. (Bengkulu)13711 .","Other"
"41","Ir. ISMAYATUN(Lampung 1)13812 .","Other"
"42","H. KRH .","Other"
"43","HENRY YOSODININGRAT, S. H. (Lampunq II)14013 .","Statement"
"44","ITET TRIDJAJATI SUMARIJANTO, M. B. A. (Lampung II)14114 .","Statement"
"45","Ir. RUDIANTO TJEN(Banqka Belitunq)14215 .","Other"
"46","Dra. SARWO BUDI WIRYANT! SUKAMDANi(DKI Jakarta 1)144I16 .","Other"
"47","Ir. ERIKO SOTARDUGA, B. P. S. (DKI Jakarta II)14517 .","Statement"
"48","MASINTON PASARIBU, S. H. (DKI Jakarta II)14618 .","Statement"
"49","Drs. EFFENDI MS S1MBOLON, M. i .","Other"
"50","Pol .","Other"
"51","(DKI Jakarta III)14719 .","Statement"
"52","DARMAD1 DURIANTO(DKI Jakarta III)14820 .","Other"
"53","Ir. KETUT SUSTIAWAN(Jabar 1)15021 .","Other"
"54","Dr. JALALUDIN RAKHMAT, M. Sc .","Statement"
"55","(Jabar II)1524NOURUT NAMANOMORANGGOTA22 .","Statement"
"56","DIAH PITALOKA, S. Sos .","Other"
"57","(Jabar III) .","Statement"
"58","dr. RIBKA TJIPTANING P. (Jabar IV) 15524 .","Other"
"59","ADIAN YUNUS YUSAK NAPITUPULU(Jabar V) 15625 .","Other"
"60","SUKUR H NABABAN, S. T. (Jabar VI) 15826 .","Other"
"61","RiSKA MARISKA, S. H. (Jabar VI) 15927 .","Other"
"62","DANIEL LUMBAN TOBING(Jabar VII) 16128 .","Other"
"63","MARUARAR SIRAIT(Jabar IX) 16429 .","Other"
"64","PUT! GUNTUR SOEKARNO(Jabar X) 16630 .","Statement"
"65","DONY MARYADI OEKON, S. T. (Jabar XI) 16731 .","Statement"
"66","JULIARI P. BATUBARA(Jateng 1)  .","Other"
"67","TJAHJO KUMOLO, S. H. (Jateng 1) menjadi Menteri 16933 .","Other"
"68","Ir. H. DARYATMO MARDIYANTO(Jateng II)17034 .","Other"
"69","EVITA NURSANTY, M. Sc .","Other"
"70","(Jatenq III)17135 .","Statement"
"71","H. IMAM SUROSO, S. Sos .","Other"
"72",", S. H. , M. M. (Jateng III)17236 .","Statement"
"73","PUAN MAHARANI(Jateng V) Dilantik menjadi Menteri17537 .","Other"
"74","ARIA BIMA(Jateng V)17638 .","Opinion"
"75","RAHMAD HANDOYO, S. Pi .","Other"
"76",", M. M. (Jateng V)17739 .","Other"
"77","NUSYIRWAN SOEDJONO, S. T. (Jateng V)17840 .","Other"
"78","Ir. SUDJADI(Jateng VI)179i41 .","Other"
"79","Drs. Ot UT ADIANTO(Jateng VII)18042 .","Statement"
"80","ADISATRYA SURYO SULISTO(Jateng VIII)18143 .","Statement"
"81","BUDIMAN SUDJATMIKO, M. Sc .","Other"
"82",", M. Phil(Jateng VIII)18244 .","Statement"
"83","DAMAYANTI WISNU PUTRANTI(Jateng IX)1845NO !URUT NAMANOMORANGGOTA45 .","Statement"
"84","Prof. Dr. HENDRAWAN SUPRATIKNO(Jateng X) 18546, Drs. H. MOHAMMAD IDHAM SAMAWi(DIY) Belum Dilantik 18647 .","Statement"
"85","MY ESTI WIJAYATIj m _____ _18748 .","Statement"
"86","INDAH KURNIA(Jatim 1) 18949, HENKY KURN1ADI(Jatim 1) 19050 .","Other"
"87","Drs. AHMAD BASARAH, M. H. (Jatim V) 19451 .","Other"
"88","Ir. ANDREAS EDDY SUSETYO, M. M. (Jatim V) 19552 .","Other"
"89","ARTERIA DAHLAN,ST .","Other"
"90",",SH(Jatim VI) 19753 .","Statement"
"91","ir .","Other"
"92","BUD! YUWONO, Dipl .","Other"
"93",", S. E. (Jatim VI) 19854 .","Other"
"94","Drs. SIRMADJI, M. Pd .","Other"
"95","(Jatim VII)19955 .","Statement"
"96","SADARESTUWATI(Jatim VIII)20156 .","Statement"
"97","ABIDIN FIKRI, S. H. (Jatim IX)20257 .","Other"
"98","H. NASYIRUL FALAH AMRU, S. E. (Jatim X)20358 .","Other"
"99","MOCHAMMAD HASBI ASYIDIKI JAYABAYA(Banten 1)20559 .","Statement"
"100","ICHSAN SOELISTIO(Banten II)20660 .","Other"
"101","Ir. HERDIAN KOOSNADI(Banten III) Belum Dilantik20761 .","Other"
"102","MARINUS GEA, S. E. (Banten III)20862 .","Other"
"103","I GUST! AGUNG RAI WIJAYA .","Other"
"104","S. E. , M. M. (Bali)21163 .","Other"
"105","HERMAN HERRY(NTT II)21564 .","Other"
"106","dr. KAROLIN MARGARET NATASA(Kalbar)21665 .","Other"
"107","LASARUS, S. Sos .","Other"
"108",", M. Si .","Other"
"109","(Kalbar)21766 .","Other"
"110","Ir. G. MICHAEL JENO, M. M. (Kalbar)21867 .","Other"
"111","ASDY NARANG, S. H. , M. Comm .","Other"
"112","LAW(Kalteng)2196NOURUT NAMANOMORANGGOTA68 .","Other"
"113","H. ADRIANSYAH(Kalsel II) 221 l69 .","Other"
"114","OLLY DONDOKAMBEY, S. E. (Sulut) 223 i70 .","Other"
"115","Drs. SAMSU NIANG, M. Pd .","Other"
"116","(Sulsel II) .","Other"
"117","IRINE YUSIANA ROBA PUTRI .","Other"
"118","S. Sos .","Other"
"119",", M. Comn & Media ST(Maluku Utara)j229|72 .","Other"
"120","KQMARUDIN WATUBUN ,SH .","Other"
"121",",MH(Papua)i231 .","Other"
"122","JIMMY DEMIANUS IJIE(Papua Barat) Dilantik 232---- ""_ -  .","Other"
"123","iJumlah kehadiran dari Fraksi Partai Demokrasi Indonesia Perjuangan 68 dari 109 orang Anggota2 .","Request"
"124","FRAKSI PARTAI GOLONGAN KARYANOURUTNAMA NOMORANGGOTA1 .","Other"
"125","H. M. SALIM FAKHRY, S. E. , M. M. (Aceh I)2332 .","Other"
"126","H. FIRMANDEZ(Aceh II)2343 .","Other"
"127","RAM BE KAMARUL ZAMAN M. Sc, M. M. (Sumut II)236 \4 .","Other"
"128","H. JOHN KENEDY AZIS, S. H. (Sumbar II)2405 .","Other"
"129","TABRANI MAAMUN(Riau I)2416 .","Statement"
"130","ir .","Other"
"131","H. M. IDRIS LAENA(Riau II)2427 .","Other"
"132","Hj. SANIATUL LATIVA(Jambi)2438 .","Statement"
"133","DODI REZA ALEX NOERDIN(Sumsel I)244j9 .","Statement"
"134","Drs. H. KAHAR MUZAKIR(Sumsel I)24510 .","Statement"
"135","BOBBY ADHITYO RIZALDI, S. E. Ak. , M. B. A. , C. F. E. (Sumsel II)246 [11 .","Other"
"136","DWIE AROEM HADIATIE(Lampung I)247 i12 .","Other"
"137","Dr. M. AZIS SYAMSUDDIN(Lampung II)24813 .","Other"
"138","Ir. H. AZHAR ROMLI .","Other"
"139","M. Si .","Other"
"140","(Bangka Belitung)249NOURUTNAMA NOMORANGGOTA14 .","Other"
"141","BAMBANG WIYOGO, S. E. (DKI Jakarta I) 25015 .","Other"
"142","TANTOWI YAHYA(DKI Jakarta III) 25216 .","Other"
"143","Ir. H. LI LI ASDJUDIREDJA, S. E. , Ph .","Other"
"144","D. (Jabar II) 25517 .","Other"
"145","EKA SASTRA(Jabar III) 25718 .","Other"
"146","Hj. DEWI ASMARA, SH .","Other"
"147",",MH(Jabar IV) 25819 .","Other"
"148","Ir. H. AIRLANGGA HARTARTO, M. M. T. , M. B. A. (Jabar V) 25920 .","Other"
"149","Dra. WENNY HARYANTO, S. H. (Jabar VI) 26121 .","Other"
