"ID","Kalimat","Kelas"
"0","DEWAN PERWAKILAN RAKYAT REPUBLIK INDONESIA RISALAH RESMI Tahun Sidang : 2014-2015 Masa Persidangan : II Rapat Ke- : 24 Jenis Rapat : Rapat Paripurna DPR RI Sifat Rapat : Terbuka Hari, tanggal : Selasa, 14 April 2015 Waktu : Pukul 10 .","Other"
"1","00 WIB s .","Other"
"2","d .","Other"
"3","selesai Tempat : Ruang Rapat Paripurna Gedung Nusantara II Lt .","Statement"
"4","3 Jln. Jendral .","Other"
"5","Gatot Subroto - Jakarta Acara : 1 .","Other"
"6","Laporan Komisi XI DPR RI mengenai hasil fit and proper test Calon KAP Pemeriksaan Keuangan BPK RI tahun 2014 dilanjutkan dengan pengambilan keputusan 2 .","Other"
"7","Laporan Badan Legislasi DPR RI terhadap hasil Pembahasan atas Rancangan Peraturan tentang Perubahan atas Peraturan DPR RI Nomor 1 Tahun 2014 tentang tata tertib menjadi Peraturan DPR RI, dilanjutkan dengan pengambilan keputusan Ketua Rapat : DR .","Other"
"8","Agus Hermanto (Wakil Ketua DPR RI Bidang Inbang) Didampingi: 1 .","Other"
"9","Drs. Setya Novanto .","Other"
"10","Ak (Ketua DPR RI) 2 .","Other"
"11","Fadli Zon, S. S. , M. Sc .","Other"
"12","(Wakil Ketua DPR RI Bidang Ekku) 3 .","Statement"
"13","Fahri Hamzah, S. E. (Wakil Ketua DPR RI Bidang Kesra) 4 .","Other"
"14","Dr. Ir. H. Taufik Kurniawan, M. M. (Wakil Ketua DPR RI Bidang Ekku) Sekretaris Rapat : Dr. WINANTUNINGTYASTITI S. , M. Si .","Statement"
"15","(Sekretaris Jenderal DPR RI) Hadir : ANGGOTA DPR RI: 423 dari 555 orang Anggota dengan rincian: FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN 2 dari 109 orang Anggota; FRAKSI PARTAI GOLONGAN KARYA 86 dari 91 orang Anggota; SEKRETARIAT JENDERAL DPR RI: 1) Achmad Djuned, S. H. , M. H. (Wakil Sekretaris Jenderal DPR RI ) 2) Tatang Sutharsa, S. H. (Deputi Bidang Persidangan dan KSAP) 3) K. Johson Rajagukguk, S. H. , M. H. (Deputi Bidang Perundang-undangan) 4) Dr. Dewi Barliana S. , S. H. , M. Hum .","Other"
"16","(Kepala Biro Kesekretariatan Pimpinan) 5) Dra. Mitra Anindyarina (Kepala Bagian Persidangan Paripurna) BDAFTAR HADIR ANGGOTA DPR Ri PADA RAPAT PARIPURNA TANGGAL 14 APRIL 20151 .","Other"
"17","FRAKSl PARTAI DEMOKRASI INDONESIA PERJUANGANNOURUTNAMANOMORANGGOTA1 .","Other"
"18","H. IRMADI LUBIS(Sumut 1) 125 i2 .","Other"
"19","dr. SOFYAN TAN(Sumut 1)1263 .","Other"
"20","TRIMEDYA PANJAITAN, S. H. , M. H. (Sumut II) 1274 .","Other"
"21","Dr. JUNIMART GIRSANG, S. H. , M. B. A. , M. H. (Sumut III)1285 .","Other"
"22","ALEX INDRA LUKMAN(Sumbar 1)1296 .","Other"
"23","AG US SU SANTO(Sumbar II)1307 .","Other"
"24","Ir. EFFEND! SIANIPAR(Riau 1)1318 .","Other"
"25","MARSIAMAN SARAGIH (Riau II)1329 .","Other"
"26","IHSAN YUNUS, M. E. Con .","Other"
"27",", Std .","Other"
"28","(Jambi)13310 .","Other"
"29","Ir. NAZARUDIN KIEMAS(Sumsel 1)134I11 .","Other"
"30","H. R. ERWIN MOESLIMIN SINGAJURU, S. H. , M. H. (Sumsel II)13512 .","Other"
"31","YULIAN GUNHAR, S. H. , M. H. (Sumsel II)13613 .","Other"
"32","Hj. ELVA HARTATI, S. I. P. , M. M. (Bengkulu)13714 .","Other"
"33","Ir. ISMAYATUN(Lampung I)13815 .","Other"
"34","SUDIN(Lampung 1)13916 .","Other"
"35","H. KRH .","Other"
"36","HENRY YOSODININGRAT, S. H. [Lampung II)14017 .","Other"
"37","ITET TRIDJAJATI SUMARIJANTO, M. B. A. (Lampung II)14118 .","Other"
"38","ir .","Statement"
"39","RUDIANTO TJEN(Bangka Belitung)14219 .","Request"
"40","Dra. SARWO BUDI w lR Y ^ NTi SUKAMDANI(OKI Jakarta 1)144j20 .","Other"
"41","Ir. ERIKO SOTARDUGA, B. P. S. (DK! Jakarta II)I I 145I21 .","Statement"
"42","MASINTON PASARIBU .","Other"
"43","S. H. (OKI Jakarta II)146I4NOURUT NAMANOMOR ! ANGGOTA22 .","Statement"
"44","Drs. EFFENDI MS SIMBOLON, M. I. Po! .","Other"
"45","(DKI Jakarta III) 147 |23 .","Statement"
"46","DARMADI DURIANTO(DKI Jakarta III)14824 .","Statement"
"47","Dr. JALALUDIN RAKHMAT, M. Sc .","Other"
"48","(Jabar II) 15225 .","Statement"
"49","H. YADI SRIMULYADI(Jabar II) 15326 .","Statement"
"50","dr. RIBKA TJIPTANING P. (Jabar IV)15527 .","Statement"
"51","SOkUR H NABABAN, S. T. (Jabar VI)15828 .","Statement"
"52","RISKA MARISKA, S. H. (Jabar VI)15929 .","Statement"
"53","RIEKE DIAH PITALOKA(Jabar VII)16030 .","Statement"
"54","DANIEL LUMBAN TOBING(Jabar VII)16131 .","Statement"
"55","Drs. YOSEPH UMARHADI, M. Si .","Statement"
"56",", M. A. (Jabar VIII )16232 .","Other"
"57","ONO SURONO, S. T. [Jabar VIII)16333 .","Other"
"58","MARUARAR SIRAIT(Jabar IX)16434 .","Other"
"59","Dr. TB .","Other"
"60","HASANUDDIN, M. M. (Jabar IX)16535 .","Other"
"61","DONY MARYADI OEKON, S. T. (Jabar XI)16736 .","Other"
"62","JULIARI P. BATUBARA(Jateng 1)16837 .","Other"
"63","Ir. H. DARYATMO MARDIYANTO(Jateng II)17038 .","Other"
"64","EVITA NURSANTY, M. Sc .","Other"
"65","(Jateng III)17139 .","Statement"
"66","H. IMAM SUROSO, S. Sos .","Other"
"67",", S. H. , M. M. (Jateng III)17240 .","Other"
"68","AGUST1NA WILUJENG PRAMESTUTI, S. S. (Jateng IV)17441 .","Other"
"69","ARIA BIMA(Jateng V)17642 .","Other"
"70","RAHMAD HANDOYO, S. Pi .","Other"
"71",", M. M. (Jateng V)17743 .","Other"
"72","NUSYIRWAN SOEDJONO, S. T. (Jateng V)178Ir .","Opinion"
"73","SUDJADI44 .","Other"
"74","(Jateng VI) 1795NOURUTNAMA NOMOR ANGGOTAj45 .","Opinion"
"75","Drs. UTUT ADIANTO(Jateng VII) 18046 .","Opinion"
"76","ADISATRYA SURYO SULISTO(Jateng VIII) 181 }47 .","Other"
"77","Ir. MUHAMMAD PRAKOSA(Jateng IX) 18348 .","Statement"
"78","DAMAYANTI WiSNU PUTRANTI(Jateng IX) 18449 .","Other"
"79","Prof. Dr. HENDRAWAN SUPRATIKNO(Jateng X) 18550 .","Statement"
"80","INDAH KURNIA(Jatim 1) 18951 .","Statement"
"81","HENKY KURNIADI(Jatim 1)19052 .","Other"
"82","ARIF WIBOWO(Jatim IV)19353 .","Other"
"83","Drs. AHMAD BASARAH, M. H. (Jatim V) 19454 .","Other"
"84","Ir. ANDREAS EDDY SUSETYO, M. M. (Jatim V)19555 .","Other"
"85","Ir. BUDI YUWONO, Dipl .","Statement"
"86",", S. E. (Jatim VI)19856 .","Other"
"87","Drs. SIRMADJI, M. Pd .","Other"
"88","(Jatim Vli)19957 .","Statement"
"89","SADARESTUWATI(Jatim VIII)20158 .","Statement"
"90","ABIDIN FiKRI, S. H. (Jatim IX)20259 .","Other"
"91","H. NASYIRUL FALAH AMRU, S. E. (Jatim X)20360 .","Other"
"92","ICHSAN SOELISTIO(Banten II)20661 .","Other"
"93","MARINUS GEA, S. E. (Banten III)20862 .","Other"
"94","Drs. 1 MADE URIP, M. Si .","Other"
"95","(Bali)20963 .","Other"
"96","1 GUSTI AGUNG RAI WIJAYA, S. E. , M. M. (Bali)21164 .","Other"
"97","HONING SANNY(NTT!)21465 .","Other"
"98","HERMAN HERRY(NTT 11)21566 .","Statement"
"99","LASARUS, S. Sos .","Other"
"100",", M. Si .","Other"
